Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,2459.0,4839.0,2945.0,1894.0,567965.0,231.0,117.0,1.97,2015,Chippewa,18,0
,2466.0,4823.0,2938.0,1885.0,558584.0,227.0,116.0,1.96,2015,Chippewa,18,0
,2481.0,4876.0,2962.0,1914.0,557614.0,225.0,114.0,1.97,2015,Chippewa,18,0
,2478.0,4846.0,2957.0,1889.0,549227.0,222.0,113.0,1.96,2015,Chippewa,18,0
,2490.0,4852.0,2972.0,1880.0,556490.0,223.0,115.0,1.95,2015,Chippewa,18,0
,2453.0,4795.0,2936.0,1859.0,547805.0,223.0,114.0,1.95,2015,Chippewa,18,0
,2427.0,4752.0,2901.0,1851.0,544823.0,224.0,115.0,1.96,2015,Chippewa,18,0
,2392.0,4655.0,2839.0,1816.0,542094.0,227.0,116.0,1.95,2015,Chippewa,18,0
,2360.0,4600.0,2786.0,1814.0,528122.0,224.0,115.0,1.95,2015,Chippewa,18,0
,2332.0,4564.0,2769.0,1795.0,521579.0,224.0,114.0,1.96,2015,Chippewa,18,0
,2308.0,4509.0,2737.0,1772.0,506196.0,219.0,112.0,1.95,2015,Chippewa,18,0
,2272.0,4438.0,2691.0,1747.0,496694.0,219.0,112.0,1.95,2015,Chippewa,18,0
,2410.0,4712.0,2869.0,1843.0,539766.0,224.0,115.0,1.96,2015,Chippewa,18,0
