Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,2582.0,5249.0,3067.0,2182.0,626816.0,243.0,119.0,2.03,2015,Clinton,20,0
,2599.0,5246.0,3094.0,2152.0,623858.0,240.0,119.0,2.02,2015,Clinton,20,0
,2602.0,5272.0,3110.0,2162.0,614726.0,236.0,117.0,2.03,2015,Clinton,20,0
,2581.0,5226.0,3082.0,2144.0,596674.0,231.0,114.0,2.02,2015,Clinton,20,0
,2610.0,5223.0,3098.0,2125.0,611914.0,234.0,117.0,2.0,2015,Clinton,20,0
,2594.0,5193.0,3072.0,2121.0,600494.0,231.0,116.0,2.0,2015,Clinton,20,0
,2554.0,5124.0,3019.0,2105.0,594478.0,233.0,116.0,2.01,2015,Clinton,20,0
,2567.0,5159.0,3024.0,2135.0,593468.0,231.0,115.0,2.01,2015,Clinton,20,0
,2516.0,5050.0,2961.0,2089.0,580963.0,231.0,115.0,2.01,2015,Clinton,20,0
,2487.0,4986.0,2942.0,2044.0,570422.0,229.0,114.0,2.0,2015,Clinton,20,0
,2444.0,4929.0,2895.0,2034.0,562236.0,230.0,114.0,2.02,2015,Clinton,20,0
,2389.0,4813.0,2829.0,1984.0,549505.0,230.0,114.0,2.01,2015,Clinton,20,0
,2544.0,5123.0,3016.0,2106.0,593796.0,233.0,116.0,2.01,2015,Clinton,20,0
