Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,1718.0,3201.0,2047.0,1154.0,361824.0,211.0,113.0,1.86,2015,Dickinson,23,0
,1696.0,3133.0,2018.0,1115.0,347882.0,205.0,111.0,1.85,2015,Dickinson,23,0
,1692.0,3151.0,2032.0,1119.0,346879.0,205.0,110.0,1.86,2015,Dickinson,23,0
,1698.0,3154.0,2035.0,1119.0,341843.0,201.0,108.0,1.86,2015,Dickinson,23,0
,1695.0,3136.0,2021.0,1115.0,348669.0,206.0,111.0,1.85,2015,Dickinson,23,0
,1686.0,3124.0,2012.0,1112.0,348588.0,207.0,112.0,1.85,2015,Dickinson,23,0
,1668.0,3071.0,1980.0,1091.0,343875.0,206.0,112.0,1.84,2015,Dickinson,23,0
,1660.0,3051.0,1965.0,1086.0,344979.0,208.0,113.0,1.84,2015,Dickinson,23,0
,1657.0,3056.0,1958.0,1098.0,340321.0,205.0,111.0,1.84,2015,Dickinson,23,0
,1637.0,3013.0,1934.0,1079.0,330508.0,202.0,110.0,1.84,2015,Dickinson,23,0
,1623.0,2977.0,1917.0,1060.0,324514.0,200.0,109.0,1.83,2015,Dickinson,23,0
,1618.0,2961.0,1914.0,1047.0,322767.0,199.0,109.0,1.83,2015,Dickinson,23,0
,1671.0,3086.0,1986.0,1100.0,341887.0,205.0,111.0,1.85,2015,Dickinson,23,0
