Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,24986.0,46821.0,28204.0,18617.0,6089343.0,244.0,130.0,1.87,2015,Ingham,34,0
,24855.0,46611.0,28075.0,18536.0,5996521.0,241.0,129.0,1.88,2015,Ingham,34,0
,24607.0,46211.0,27783.0,18428.0,5860807.0,238.0,127.0,1.88,2015,Ingham,34,0
,24552.0,46010.0,27699.0,18311.0,5771289.0,235.0,125.0,1.87,2015,Ingham,34,0
,24496.0,45892.0,27647.0,18245.0,5758796.0,235.0,125.0,1.87,2015,Ingham,34,0
,24407.0,45812.0,27557.0,18255.0,5723523.0,235.0,125.0,1.88,2015,Ingham,34,0
,24386.0,45921.0,27555.0,18366.0,5748446.0,236.0,125.0,1.88,2015,Ingham,34,0
,24386.0,45985.0,27581.0,18404.0,5747874.0,236.0,125.0,1.89,2015,Ingham,34,0
,24249.0,45681.0,27401.0,18280.0,5670058.0,234.0,124.0,1.88,2015,Ingham,34,0
,24076.0,45387.0,27179.0,18208.0,5629288.0,234.0,124.0,1.89,2015,Ingham,34,0
,23964.0,45135.0,27010.0,18125.0,5626976.0,235.0,125.0,1.88,2015,Ingham,34,0
,23713.0,44670.0,26687.0,17983.0,5539017.0,234.0,124.0,1.88,2015,Ingham,34,0
,24390.0,45845.0,27532.0,18313.0,5763495.0,236.0,126.0,1.88,2015,Ingham,34,0
