Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,938.0,1793.0,1167.0,626.0,210257.0,224.0,117.0,1.91,2015,Iron,37,0
,941.0,1782.0,1174.0,608.0,210925.0,224.0,118.0,1.89,2015,Iron,37,0
,951.0,1825.0,1186.0,639.0,211841.0,223.0,116.0,1.92,2015,Iron,37,0
,967.0,1852.0,1205.0,647.0,207791.0,215.0,112.0,1.92,2015,Iron,37,0
,972.0,1864.0,1214.0,650.0,211663.0,218.0,114.0,1.92,2015,Iron,37,0
,972.0,1859.0,1217.0,642.0,210236.0,216.0,113.0,1.91,2015,Iron,37,0
,964.0,1852.0,1214.0,638.0,210608.0,218.0,114.0,1.92,2015,Iron,37,0
,960.0,1858.0,1214.0,644.0,207428.0,216.0,112.0,1.94,2015,Iron,37,0
,950.0,1836.0,1201.0,635.0,202966.0,214.0,111.0,1.93,2015,Iron,37,0
,930.0,1790.0,1169.0,621.0,198386.0,213.0,111.0,1.92,2015,Iron,37,0
,955.0,1834.0,1198.0,636.0,202286.0,212.0,110.0,1.92,2015,Iron,37,0
,975.0,1856.0,1219.0,637.0,203240.0,208.0,110.0,1.9,2015,Iron,37,0
,956.0,1833.0,1198.0,635.0,207302.0,217.0,113.0,1.92,2015,Iron,37,0
