Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,4369.0,8066.0,5173.0,2893.0,991070.0,227.0,123.0,1.85,2015,Isabella,38,0
,4336.0,8001.0,5118.0,2883.0,966586.0,223.0,121.0,1.85,2015,Isabella,38,0
,4297.0,7939.0,5093.0,2846.0,946081.0,220.0,119.0,1.85,2015,Isabella,38,0
,4251.0,7888.0,5036.0,2852.0,911904.0,215.0,116.0,1.86,2015,Isabella,38,0
,4270.0,7877.0,5058.0,2819.0,929011.0,218.0,118.0,1.84,2015,Isabella,38,0
,4249.0,7878.0,5055.0,2823.0,922792.0,217.0,117.0,1.85,2015,Isabella,38,0
,4138.0,7718.0,4935.0,2783.0,908918.0,220.0,118.0,1.87,2015,Isabella,38,0
,4137.0,7704.0,4926.0,2778.0,903376.0,218.0,117.0,1.86,2015,Isabella,38,0
,4127.0,7641.0,4892.0,2749.0,882710.0,214.0,116.0,1.85,2015,Isabella,38,0
,4076.0,7589.0,4838.0,2751.0,872983.0,214.0,115.0,1.86,2015,Isabella,38,0
,4073.0,7636.0,4849.0,2787.0,867871.0,213.0,114.0,1.87,2015,Isabella,38,0
,4071.0,7569.0,4838.0,2731.0,854484.0,210.0,113.0,1.86,2015,Isabella,38,0
,4200.0,7792.0,4984.0,2808.0,913149.0,217.0,117.0,1.86,2015,Isabella,38,0
