Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,12821.0,25396.0,14978.0,10418.0,3139992.0,245.0,124.0,1.98,2015,Jackson,39,0
,12666.0,25150.0,14795.0,10355.0,3056239.0,241.0,122.0,1.99,2015,Jackson,39,0
,12530.0,24837.0,14627.0,10210.0,2966833.0,237.0,119.0,1.98,2015,Jackson,39,0
,12463.0,24724.0,14538.0,10186.0,2903667.0,233.0,117.0,1.98,2015,Jackson,39,0
,12510.0,24860.0,14600.0,10260.0,2926931.0,234.0,118.0,1.99,2015,Jackson,39,0
,12466.0,24770.0,14570.0,10200.0,2920187.0,234.0,118.0,1.99,2015,Jackson,39,0
,12350.0,24520.0,14409.0,10111.0,2877499.0,233.0,117.0,1.99,2015,Jackson,39,0
,12263.0,24291.0,14298.0,9993.0,2850175.0,232.0,117.0,1.98,2015,Jackson,39,0
,12216.0,24150.0,14211.0,9939.0,2820456.0,231.0,117.0,1.98,2015,Jackson,39,0
,12121.0,24018.0,14107.0,9911.0,2774485.0,229.0,116.0,1.98,2015,Jackson,39,0
,12026.0,23823.0,13960.0,9863.0,2757937.0,229.0,116.0,1.98,2015,Jackson,39,0
,11890.0,23563.0,13830.0,9733.0,2718020.0,229.0,115.0,1.98,2015,Jackson,39,0
,12360.0,24509.0,14410.0,10098.0,2892702.0,234.0,118.0,1.98,2015,Jackson,39,0
