Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,6939.0,13998.0,8197.0,5801.0,1702051.0,245.0,122.0,2.02,2015,Lenawee,47,0
,6890.0,13929.0,8165.0,5764.0,1665238.0,242.0,120.0,2.02,2015,Lenawee,47,0
,6844.0,13829.0,8105.0,5724.0,1637700.0,239.0,118.0,2.02,2015,Lenawee,47,0
,6809.0,13733.0,8056.0,5677.0,1598399.0,235.0,116.0,2.02,2015,Lenawee,47,0
,6822.0,13700.0,8052.0,5648.0,1604997.0,235.0,117.0,2.01,2015,Lenawee,47,0
,6829.0,13701.0,8075.0,5626.0,1602175.0,235.0,117.0,2.01,2015,Lenawee,47,0
,6709.0,13504.0,7933.0,5571.0,1566476.0,233.0,116.0,2.01,2015,Lenawee,47,0
,6673.0,13447.0,7901.0,5546.0,1553374.0,233.0,116.0,2.02,2015,Lenawee,47,0
,6633.0,13299.0,7829.0,5470.0,1529828.0,231.0,115.0,2.0,2015,Lenawee,47,0
,6574.0,13223.0,7794.0,5429.0,1506694.0,229.0,114.0,2.01,2015,Lenawee,47,0
,6511.0,13110.0,7693.0,5417.0,1495521.0,230.0,114.0,2.01,2015,Lenawee,47,0
,6479.0,13027.0,7643.0,5384.0,1485803.0,229.0,114.0,2.01,2015,Lenawee,47,0
,6726.0,13542.0,7954.0,5588.0,1579021.0,235.0,117.0,2.01,2015,Lenawee,47,0
