Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,58833.0,115799.0,69985.0,45814.0,14818157.0,252.0,128.0,1.97,2015,Macomb,51,0
,58524.0,115207.0,69631.0,45576.0,14588391.0,249.0,127.0,1.97,2015,Macomb,51,0
,58412.0,115053.0,69483.0,45570.0,14340392.0,246.0,125.0,1.97,2015,Macomb,51,0
,58380.0,114701.0,69338.0,45363.0,14120787.0,242.0,123.0,1.96,2015,Macomb,51,0
,58418.0,114782.0,69446.0,45336.0,14159513.0,242.0,123.0,1.96,2015,Macomb,51,0
,58071.0,114171.0,69091.0,45080.0,14076057.0,242.0,123.0,1.97,2015,Macomb,51,0
,57782.0,113719.0,68767.0,44952.0,13989212.0,242.0,123.0,1.97,2015,Macomb,51,0
,57572.0,113391.0,68544.0,44847.0,13911186.0,242.0,123.0,1.97,2015,Macomb,51,0
,57300.0,112797.0,68205.0,44592.0,13737867.0,240.0,122.0,1.97,2015,Macomb,51,0
,57221.0,112490.0,68079.0,44411.0,13632159.0,238.0,121.0,1.97,2015,Macomb,51,0
,57061.0,112205.0,67842.0,44363.0,13663602.0,239.0,122.0,1.97,2015,Macomb,51,0
,56662.0,111285.0,67332.0,43953.0,13560708.0,239.0,122.0,1.96,2015,Macomb,51,0
,57853.0,113800.0,68812.0,44988.0,14049836.0,243.0,123.0,1.97,2015,Macomb,51,0
