Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,1141.0,2438.0,1460.0,978.0,268019.0,235.0,110.0,2.14,2015,Missaukee,58,0
,1126.0,2401.0,1441.0,960.0,262444.0,233.0,109.0,2.13,2015,Missaukee,58,0
,1119.0,2379.0,1435.0,944.0,259251.0,232.0,109.0,2.13,2015,Missaukee,58,0
,1117.0,2374.0,1434.0,940.0,258707.0,232.0,109.0,2.13,2015,Missaukee,58,0
,1111.0,2370.0,1433.0,937.0,256638.0,231.0,108.0,2.13,2015,Missaukee,58,0
,1099.0,2345.0,1418.0,927.0,253236.0,230.0,108.0,2.13,2015,Missaukee,58,0
,1063.0,2256.0,1370.0,886.0,239268.0,225.0,106.0,2.12,2015,Missaukee,58,0
,1046.0,2241.0,1342.0,899.0,235348.0,225.0,105.0,2.14,2015,Missaukee,58,0
,1026.0,2195.0,1313.0,882.0,229038.0,223.0,104.0,2.14,2015,Missaukee,58,0
,1022.0,2181.0,1304.0,877.0,227732.0,223.0,104.0,2.13,2015,Missaukee,58,0
,1007.0,2143.0,1283.0,860.0,220761.0,219.0,103.0,2.13,2015,Missaukee,58,0
,1010.0,2173.0,1297.0,876.0,218521.0,216.0,101.0,2.15,2015,Missaukee,58,0
,1074.0,2291.0,1378.0,914.0,244080.0,227.0,106.0,2.13,2015,Missaukee,58,0
