Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,8782.0,17269.0,10116.0,7153.0,2152230.0,245.0,125.0,1.97,2015,Monroe,59,0
,8695.0,17076.0,10007.0,7069.0,2112463.0,243.0,124.0,1.96,2015,Monroe,59,0
,8609.0,16811.0,9908.0,6903.0,2053708.0,239.0,122.0,1.95,2015,Monroe,59,0
,8574.0,16806.0,9875.0,6931.0,2029762.0,237.0,121.0,1.96,2015,Monroe,59,0
,8528.0,16659.0,9800.0,6859.0,2019245.0,237.0,121.0,1.95,2015,Monroe,59,0
,8511.0,16582.0,9757.0,6825.0,1998214.0,235.0,121.0,1.95,2015,Monroe,59,0
,8501.0,16625.0,9734.0,6891.0,1985169.0,234.0,119.0,1.96,2015,Monroe,59,0
,8410.0,16439.0,9644.0,6795.0,1968343.0,234.0,120.0,1.95,2015,Monroe,59,0
,8343.0,16282.0,9549.0,6733.0,1929493.0,231.0,119.0,1.95,2015,Monroe,59,0
,8291.0,16050.0,9477.0,6573.0,1908915.0,230.0,119.0,1.94,2015,Monroe,59,0
,8209.0,15920.0,9361.0,6559.0,1900494.0,232.0,119.0,1.94,2015,Monroe,59,0
,8136.0,15699.0,9295.0,6404.0,1874029.0,230.0,119.0,1.93,2015,Monroe,59,0
,8466.0,16518.0,9710.0,6808.0,1994339.0,235.0,121.0,1.95,2015,Monroe,59,0
