Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,2764.0,5042.0,3396.0,1646.0,602884.0,218.0,120.0,1.82,2015,Roscommon,73,0
,2764.0,5051.0,3397.0,1654.0,600969.0,217.0,119.0,1.83,2015,Roscommon,73,0
,2759.0,5058.0,3405.0,1653.0,586106.0,212.0,116.0,1.83,2015,Roscommon,73,0
,2766.0,5084.0,3426.0,1658.0,581410.0,210.0,114.0,1.84,2015,Roscommon,73,0
,2761.0,5081.0,3438.0,1643.0,588326.0,213.0,116.0,1.84,2015,Roscommon,73,0
,2753.0,5092.0,3430.0,1662.0,594085.0,216.0,117.0,1.85,2015,Roscommon,73,0
,2746.0,5074.0,3411.0,1663.0,589971.0,215.0,116.0,1.85,2015,Roscommon,73,0
,2716.0,5048.0,3378.0,1670.0,585618.0,216.0,116.0,1.86,2015,Roscommon,73,0
,2662.0,4887.0,3297.0,1590.0,562409.0,211.0,115.0,1.84,2015,Roscommon,73,0
,2625.0,4798.0,3245.0,1553.0,543942.0,207.0,113.0,1.83,2015,Roscommon,73,0
,2563.0,4655.0,3164.0,1491.0,532091.0,208.0,114.0,1.82,2015,Roscommon,73,0
,2536.0,4586.0,3111.0,1475.0,520581.0,205.0,114.0,1.81,2015,Roscommon,73,0
,2701.0,4955.0,3342.0,1613.0,574033.0,212.0,116.0,1.83,2015,Roscommon,73,0
