Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,744.0,1346.0,946.0,400.0,147823.0,199.0,110.0,1.81,2016,Alcona,2,0
,751.0,1341.0,949.0,392.0,145175.0,193.0,108.0,1.79,2016,Alcona,2,0
,749.0,1343.0,944.0,399.0,145010.0,194.0,108.0,1.79,2016,Alcona,2,0
,749.0,1331.0,939.0,392.0,146938.0,196.0,110.0,1.78,2016,Alcona,2,0
,757.0,1337.0,947.0,390.0,151192.0,200.0,113.0,1.77,2016,Alcona,2,0
,742.0,1318.0,931.0,387.0,150897.0,203.0,114.0,1.78,2016,Alcona,2,0
,735.0,1314.0,929.0,385.0,146292.0,199.0,111.0,1.79,2016,Alcona,2,0
,738.0,1320.0,922.0,398.0,146388.0,198.0,111.0,1.79,2016,Alcona,2,0
,720.0,1293.0,902.0,391.0,148348.0,206.0,115.0,1.8,2016,Alcona,2,0
,717.0,1298.0,898.0,400.0,145475.0,203.0,112.0,1.81,2016,Alcona,2,0
,720.0,1309.0,904.0,405.0,145147.0,202.0,111.0,1.82,2016,Alcona,2,0
,720.0,1285.0,896.0,389.0,140908.0,196.0,110.0,1.78,2016,Alcona,2,0
,737.0,1320.0,926.0,394.0,146633.0,199.0,111.0,1.79,2016,Alcona,2,0
