Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,531.0,969.0,645.0,324.0,97726.0,184.0,101.0,1.82,2016,Alger,3,0
,525.0,961.0,632.0,329.0,97517.0,186.0,101.0,1.83,2016,Alger,3,0
,526.0,984.0,640.0,344.0,102092.0,194.0,104.0,1.87,2016,Alger,3,0
,528.0,1020.0,657.0,363.0,104838.0,199.0,103.0,1.93,2016,Alger,3,0
,532.0,1031.0,658.0,373.0,110021.0,207.0,107.0,1.94,2016,Alger,3,0
,514.0,987.0,635.0,352.0,104488.0,203.0,106.0,1.92,2016,Alger,3,0
,524.0,1005.0,649.0,356.0,110179.0,210.0,110.0,1.92,2016,Alger,3,0
,514.0,986.0,636.0,350.0,110130.0,214.0,112.0,1.92,2016,Alger,3,0
,514.0,985.0,640.0,345.0,105843.0,206.0,107.0,1.92,2016,Alger,3,0
,493.0,920.0,610.0,310.0,96826.0,196.0,105.0,1.87,2016,Alger,3,0
,482.0,899.0,598.0,301.0,91741.0,190.0,102.0,1.87,2016,Alger,3,0
,473.0,862.0,578.0,284.0,84592.0,179.0,98.0,1.82,2016,Alger,3,0
,513.0,967.0,632.0,336.0,101333.0,197.0,105.0,1.89,2016,Alger,3,0
