Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,2812.0,5673.0,3488.0,2185.0,617022.0,219.0,109.0,2.02,2016,Barry,9,0
,2769.0,5598.0,3420.0,2178.0,612717.0,221.0,109.0,2.02,2016,Barry,9,0
,2764.0,5554.0,3408.0,2146.0,609482.0,221.0,110.0,2.01,2016,Barry,9,0
,2763.0,5555.0,3393.0,2162.0,603402.0,218.0,109.0,2.01,2016,Barry,9,0
,2728.0,5497.0,3367.0,2130.0,610312.0,224.0,111.0,2.02,2016,Barry,9,0
,2716.0,5453.0,3350.0,2103.0,601475.0,221.0,110.0,2.01,2016,Barry,9,0
,2694.0,5399.0,3308.0,2091.0,595185.0,221.0,110.0,2.0,2016,Barry,9,0
,2647.0,5283.0,3248.0,2035.0,581239.0,220.0,110.0,2.0,2016,Barry,9,0
,2630.0,5283.0,3236.0,2047.0,578480.0,220.0,109.0,2.01,2016,Barry,9,0
,2614.0,5199.0,3200.0,1999.0,565721.0,216.0,109.0,1.99,2016,Barry,9,0
,2562.0,5098.0,3133.0,1965.0,563625.0,220.0,111.0,1.99,2016,Barry,9,0
,2544.0,5042.0,3097.0,1945.0,548239.0,216.0,109.0,1.98,2016,Barry,9,0
,2687.0,5386.0,3304.0,2082.0,590575.0,220.0,110.0,2.0,2016,Barry,9,0
