Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,892.0,1753.0,1096.0,657.0,180163.0,202.0,103.0,1.97,2016,Benzie,11,0
,896.0,1773.0,1110.0,663.0,184189.0,206.0,104.0,1.98,2016,Benzie,11,0
,907.0,1787.0,1125.0,662.0,185466.0,204.0,104.0,1.97,2016,Benzie,11,0
,897.0,1759.0,1114.0,645.0,185784.0,207.0,106.0,1.96,2016,Benzie,11,0
,890.0,1735.0,1105.0,630.0,186601.0,210.0,108.0,1.95,2016,Benzie,11,0
,889.0,1740.0,1102.0,638.0,187409.0,211.0,108.0,1.96,2016,Benzie,11,0
,882.0,1698.0,1078.0,620.0,187511.0,213.0,110.0,1.93,2016,Benzie,11,0
,866.0,1663.0,1048.0,615.0,183717.0,212.0,110.0,1.92,2016,Benzie,11,0
,857.0,1654.0,1044.0,610.0,180038.0,210.0,109.0,1.93,2016,Benzie,11,0
,840.0,1620.0,1024.0,596.0,176138.0,210.0,109.0,1.93,2016,Benzie,11,0
,850.0,1634.0,1034.0,600.0,177656.0,209.0,109.0,1.92,2016,Benzie,11,0
,860.0,1632.0,1051.0,581.0,176342.0,205.0,108.0,1.9,2016,Benzie,11,0
,877.0,1704.0,1078.0,626.0,182585.0,208.0,107.0,1.94,2016,Benzie,11,0
