Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,49529.0,93312.0,55674.0,37638.0,11776354.0,238.0,126.0,1.88,2016,Genesee,26,0
,49188.0,92661.0,55284.0,37377.0,11700631.0,238.0,126.0,1.88,2016,Genesee,26,0
,49004.0,92019.0,55003.0,37016.0,11619001.0,237.0,126.0,1.88,2016,Genesee,26,0
,48984.0,91796.0,54916.0,36880.0,11482174.0,234.0,125.0,1.87,2016,Genesee,26,0
,48756.0,91176.0,54631.0,36545.0,11572087.0,237.0,127.0,1.87,2016,Genesee,26,0
,48482.0,90627.0,54335.0,36292.0,11449240.0,236.0,126.0,1.87,2016,Genesee,26,0
,47946.0,89516.0,53745.0,35771.0,11355861.0,237.0,127.0,1.87,2016,Genesee,26,0
,47638.0,88933.0,53340.0,35593.0,11308287.0,237.0,127.0,1.87,2016,Genesee,26,0
,47473.0,88717.0,53194.0,35523.0,11217875.0,236.0,126.0,1.87,2016,Genesee,26,0
,47152.0,88115.0,52852.0,35263.0,11037397.0,234.0,125.0,1.87,2016,Genesee,26,0
,46876.0,87553.0,52540.0,35013.0,11015092.0,235.0,126.0,1.87,2016,Genesee,26,0
,46757.0,87394.0,52350.0,35044.0,10959181.0,234.0,125.0,1.87,2016,Genesee,26,0
,48149.0,90152.0,53989.0,36163.0,11374432.0,236.0,126.0,1.87,2016,Genesee,26,0
