Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,2294.0,4102.0,2791.0,1311.0,456930.0,199.0,111.0,1.79,2016,Gladwin,27,0
,2283.0,4056.0,2772.0,1284.0,456543.0,200.0,113.0,1.78,2016,Gladwin,27,0
,2276.0,4058.0,2755.0,1303.0,458828.0,202.0,113.0,1.78,2016,Gladwin,27,0
,2279.0,4085.0,2777.0,1308.0,453644.0,199.0,111.0,1.79,2016,Gladwin,27,0
,2273.0,4089.0,2784.0,1305.0,469916.0,207.0,115.0,1.8,2016,Gladwin,27,0
,2271.0,4090.0,2780.0,1310.0,460610.0,203.0,113.0,1.8,2016,Gladwin,27,0
,2264.0,4090.0,2777.0,1313.0,463114.0,205.0,113.0,1.81,2016,Gladwin,27,0
,2262.0,4104.0,2763.0,1341.0,463417.0,205.0,113.0,1.81,2016,Gladwin,27,0
,2242.0,4035.0,2730.0,1305.0,453356.0,202.0,112.0,1.8,2016,Gladwin,27,0
,2222.0,3972.0,2691.0,1281.0,435480.0,196.0,110.0,1.79,2016,Gladwin,27,0
,2201.0,3946.0,2663.0,1283.0,432746.0,197.0,110.0,1.79,2016,Gladwin,27,0
,2160.0,3877.0,2615.0,1262.0,422327.0,196.0,109.0,1.79,2016,Gladwin,27,0
,2252.0,4042.0,2742.0,1301.0,452243.0,201.0,112.0,1.79,2016,Gladwin,27,0
