Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,2943.0,5989.0,3543.0,2446.0,663684.0,226.0,111.0,2.03,2016,Gratiot,30,0
,2927.0,5942.0,3517.0,2425.0,651161.0,222.0,110.0,2.03,2016,Gratiot,30,0
,2897.0,5868.0,3481.0,2387.0,642736.0,222.0,110.0,2.03,2016,Gratiot,30,0
,2909.0,5856.0,3488.0,2368.0,637705.0,219.0,109.0,2.01,2016,Gratiot,30,0
,2899.0,5865.0,3504.0,2361.0,650640.0,224.0,111.0,2.02,2016,Gratiot,30,0
,2880.0,5814.0,3481.0,2333.0,641897.0,223.0,110.0,2.02,2016,Gratiot,30,0
,2888.0,5843.0,3492.0,2351.0,651545.0,226.0,112.0,2.02,2016,Gratiot,30,0
,2868.0,5822.0,3467.0,2355.0,641882.0,224.0,110.0,2.03,2016,Gratiot,30,0
,2847.0,5804.0,3453.0,2351.0,640813.0,225.0,110.0,2.04,2016,Gratiot,30,0
,2839.0,5825.0,3445.0,2380.0,638388.0,225.0,110.0,2.05,2016,Gratiot,30,0
,2829.0,5814.0,3430.0,2384.0,646762.0,229.0,111.0,2.06,2016,Gratiot,30,0
,2831.0,5832.0,3438.0,2394.0,647098.0,229.0,111.0,2.06,2016,Gratiot,30,0
,2880.0,5856.0,3478.0,2378.0,646193.0,224.0,110.0,2.03,2016,Gratiot,30,0
