Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,2169.0,4062.0,2663.0,1399.0,424360.0,196.0,104.0,1.87,2016,Houghton,32,0
,2153.0,4064.0,2658.0,1406.0,429353.0,199.0,106.0,1.89,2016,Houghton,32,0
,2131.0,3994.0,2615.0,1379.0,428212.0,201.0,107.0,1.87,2016,Houghton,32,0
,2129.0,3969.0,2610.0,1359.0,429547.0,202.0,108.0,1.86,2016,Houghton,32,0
,2122.0,3959.0,2599.0,1360.0,426107.0,201.0,108.0,1.87,2016,Houghton,32,0
,2076.0,3877.0,2546.0,1331.0,413337.0,199.0,107.0,1.87,2016,Houghton,32,0
,2074.0,3895.0,2559.0,1336.0,414489.0,200.0,106.0,1.88,2016,Houghton,32,0
,2066.0,3908.0,2560.0,1348.0,414618.0,201.0,106.0,1.89,2016,Houghton,32,0
,2040.0,3884.0,2526.0,1358.0,414997.0,203.0,107.0,1.9,2016,Houghton,32,0
,2023.0,3854.0,2501.0,1353.0,405066.0,200.0,105.0,1.91,2016,Houghton,32,0
,2015.0,3830.0,2487.0,1343.0,397761.0,197.0,104.0,1.9,2016,Houghton,32,0
,2024.0,3857.0,2498.0,1359.0,401518.0,198.0,104.0,1.91,2016,Houghton,32,0
,2085.0,3929.0,2569.0,1361.0,416614.0,200.0,106.0,1.88,2016,Houghton,32,0
