Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,1420.0,2762.0,1782.0,980.0,292679.0,206.0,106.0,1.95,2016,Kalkaska,41,0
,1430.0,2811.0,1800.0,1011.0,305383.0,214.0,109.0,1.97,2016,Kalkaska,41,0
,1440.0,2841.0,1822.0,1019.0,304600.0,212.0,107.0,1.97,2016,Kalkaska,41,0
,1464.0,2898.0,1852.0,1046.0,312025.0,213.0,108.0,1.98,2016,Kalkaska,41,0
,1460.0,2899.0,1849.0,1050.0,314639.0,216.0,109.0,1.99,2016,Kalkaska,41,0
,1451.0,2886.0,1839.0,1047.0,313992.0,216.0,109.0,1.99,2016,Kalkaska,41,0
,1451.0,2890.0,1844.0,1046.0,313535.0,216.0,108.0,1.99,2016,Kalkaska,41,0
,1442.0,2898.0,1842.0,1056.0,308749.0,214.0,107.0,2.01,2016,Kalkaska,41,0
,1434.0,2859.0,1826.0,1033.0,307035.0,214.0,107.0,1.99,2016,Kalkaska,41,0
,1381.0,2721.0,1739.0,982.0,289505.0,210.0,106.0,1.97,2016,Kalkaska,41,0
,1372.0,2706.0,1725.0,981.0,290288.0,212.0,107.0,1.97,2016,Kalkaska,41,0
,1367.0,2667.0,1717.0,950.0,282485.0,207.0,106.0,1.95,2016,Kalkaska,41,0
,1426.0,2820.0,1803.0,1017.0,302910.0,212.0,107.0,1.98,2016,Kalkaska,41,0
