Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,41286.0,81493.0,44306.0,37187.0,9431536.0,228.0,116.0,1.97,2016,Kent,42,0
,40960.0,80831.0,44019.0,36812.0,9394235.0,229.0,116.0,1.97,2016,Kent,42,0
,40511.0,79796.0,43534.0,36262.0,9254489.0,228.0,116.0,1.97,2016,Kent,42,0
,40488.0,79716.0,43506.0,36210.0,9163328.0,226.0,115.0,1.97,2016,Kent,42,0
,40315.0,79399.0,43371.0,36028.0,9252529.0,230.0,117.0,1.97,2016,Kent,42,0
,40163.0,79102.0,43175.0,35927.0,9204319.0,229.0,116.0,1.97,2016,Kent,42,0
,39883.0,78425.0,42882.0,35543.0,9139925.0,229.0,117.0,1.97,2016,Kent,42,0
,39728.0,78038.0,42671.0,35367.0,9091071.0,229.0,116.0,1.96,2016,Kent,42,0
,39455.0,77566.0,42409.0,35157.0,9020254.0,229.0,116.0,1.97,2016,Kent,42,0
,39095.0,77002.0,42039.0,34963.0,8836225.0,226.0,115.0,1.97,2016,Kent,42,0
,38829.0,76645.0,41770.0,34875.0,8793447.0,226.0,115.0,1.97,2016,Kent,42,0
,38645.0,76204.0,41540.0,34664.0,8702097.0,225.0,114.0,1.97,2016,Kent,42,0
,39947.0,78685.0,42935.0,35750.0,9106955.0,228.0,116.0,1.97,2016,Kent,42,0
