Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,520.0,1019.0,600.0,419.0,108610.0,209.0,107.0,1.96,2016,Leelanau,46,0
,528.0,1037.0,609.0,428.0,106943.0,203.0,103.0,1.96,2016,Leelanau,46,0
,529.0,1017.0,606.0,411.0,107785.0,204.0,106.0,1.92,2016,Leelanau,46,0
,519.0,990.0,591.0,399.0,107209.0,207.0,108.0,1.91,2016,Leelanau,46,0
,517.0,1005.0,592.0,413.0,115145.0,223.0,115.0,1.94,2016,Leelanau,46,0
,513.0,989.0,587.0,402.0,110753.0,216.0,112.0,1.93,2016,Leelanau,46,0
,513.0,987.0,586.0,401.0,107897.0,210.0,109.0,1.92,2016,Leelanau,46,0
,497.0,984.0,569.0,415.0,108188.0,218.0,110.0,1.98,2016,Leelanau,46,0
,490.0,969.0,561.0,408.0,103371.0,211.0,107.0,1.98,2016,Leelanau,46,0
,481.0,934.0,545.0,389.0,99185.0,206.0,106.0,1.94,2016,Leelanau,46,0
,468.0,928.0,535.0,393.0,98903.0,211.0,107.0,1.98,2016,Leelanau,46,0
,467.0,930.0,530.0,400.0,102910.0,220.0,111.0,1.99,2016,Leelanau,46,0
,504.0,982.0,576.0,407.0,106408.0,211.0,108.0,1.95,2016,Leelanau,46,0
