Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,2152.0,4313.0,2623.0,1690.0,450086.0,209.0,104.0,2.0,2016,Mason,54,0
,2128.0,4267.0,2591.0,1676.0,441617.0,208.0,103.0,2.01,2016,Mason,54,0
,2136.0,4279.0,2614.0,1665.0,448298.0,210.0,105.0,2.0,2016,Mason,54,0
,2155.0,4354.0,2643.0,1711.0,448895.0,208.0,103.0,2.02,2016,Mason,54,0
,2175.0,4352.0,2662.0,1690.0,458678.0,211.0,105.0,2.0,2016,Mason,54,0
,2155.0,4317.0,2640.0,1677.0,455788.0,212.0,106.0,2.0,2016,Mason,54,0
,2129.0,4266.0,2608.0,1658.0,452111.0,212.0,106.0,2.0,2016,Mason,54,0
,2091.0,4173.0,2557.0,1616.0,441431.0,211.0,106.0,2.0,2016,Mason,54,0
,2053.0,4088.0,2504.0,1584.0,431485.0,210.0,106.0,1.99,2016,Mason,54,0
,2021.0,4024.0,2465.0,1559.0,417398.0,207.0,104.0,1.99,2016,Mason,54,0
,1992.0,3934.0,2434.0,1500.0,402522.0,202.0,102.0,1.97,2016,Mason,54,0
,1963.0,3860.0,2392.0,1468.0,395740.0,202.0,103.0,1.97,2016,Mason,54,0
,2096.0,4186.0,2561.0,1625.0,437004.0,208.0,104.0,2.0,2016,Mason,54,0
