Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,5016.0,9666.0,6086.0,3580.0,1093298.0,218.0,113.0,1.93,2016,Midland,57,0
,4987.0,9633.0,6054.0,3579.0,1081096.0,217.0,112.0,1.93,2016,Midland,57,0
,4950.0,9488.0,5990.0,3498.0,1069111.0,216.0,113.0,1.92,2016,Midland,57,0
,4963.0,9447.0,6007.0,3440.0,1060819.0,214.0,112.0,1.9,2016,Midland,57,0
,4934.0,9394.0,5962.0,3432.0,1071968.0,217.0,114.0,1.9,2016,Midland,57,0
,4950.0,9385.0,5971.0,3414.0,1058710.0,214.0,113.0,1.9,2016,Midland,57,0
,4916.0,9337.0,5936.0,3401.0,1056896.0,215.0,113.0,1.9,2016,Midland,57,0
,4892.0,9269.0,5907.0,3362.0,1048192.0,214.0,113.0,1.89,2016,Midland,57,0
,4849.0,9238.0,5877.0,3361.0,1041612.0,215.0,113.0,1.91,2016,Midland,57,0
,4806.0,9112.0,5813.0,3299.0,1011739.0,211.0,111.0,1.9,2016,Midland,57,0
,4794.0,9091.0,5788.0,3303.0,1023748.0,214.0,113.0,1.9,2016,Midland,57,0
,4745.0,9006.0,5732.0,3274.0,1008392.0,213.0,112.0,1.9,2016,Midland,57,0
,4900.0,9339.0,5927.0,3412.0,1052132.0,215.0,113.0,1.91,2016,Midland,57,0
