Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,56370.0,101520.0,63052.0,38468.0,12383431.0,220.0,122.0,1.8,2016,Oakland,64,0
,56341.0,101255.0,62933.0,38322.0,12368944.0,220.0,122.0,1.8,2016,Oakland,64,0
,55928.0,100294.0,62459.0,37835.0,12246830.0,219.0,122.0,1.79,2016,Oakland,64,0
,55945.0,100104.0,62511.0,37593.0,12120128.0,217.0,121.0,1.79,2016,Oakland,64,0
,55941.0,99891.0,62522.0,37369.0,12166540.0,217.0,122.0,1.79,2016,Oakland,64,0
,55833.0,99724.0,62389.0,37335.0,12089247.0,217.0,121.0,1.79,2016,Oakland,64,0
,55478.0,98962.0,62039.0,36923.0,12007530.0,216.0,121.0,1.78,2016,Oakland,64,0
,55108.0,98287.0,61538.0,36749.0,11922447.0,216.0,121.0,1.78,2016,Oakland,64,0
,54764.0,97633.0,61123.0,36510.0,11883535.0,217.0,122.0,1.78,2016,Oakland,64,0
,54292.0,96902.0,60592.0,36310.0,11678790.0,215.0,121.0,1.78,2016,Oakland,64,0
,54525.0,97170.0,60801.0,36369.0,11763189.0,216.0,121.0,1.78,2016,Oakland,64,0
,54395.0,96929.0,60650.0,36279.0,11739547.0,216.0,121.0,1.78,2016,Oakland,64,0
,55410.0,99056.0,61884.0,37172.0,12030847.0,217.0,121.0,1.79,2016,Oakland,64,0
