Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,2452.0,4484.0,3011.0,1473.0,489959.0,200.0,109.0,1.83,2016,Ogemaw,66,0
,2453.0,4517.0,3018.0,1499.0,492728.0,201.0,109.0,1.84,2016,Ogemaw,66,0
,2447.0,4505.0,3002.0,1503.0,490997.0,201.0,109.0,1.84,2016,Ogemaw,66,0
,2457.0,4536.0,3003.0,1533.0,490835.0,200.0,108.0,1.85,2016,Ogemaw,66,0
,2471.0,4574.0,3030.0,1544.0,505158.0,204.0,110.0,1.85,2016,Ogemaw,66,0
,2465.0,4570.0,3028.0,1542.0,508893.0,206.0,111.0,1.85,2016,Ogemaw,66,0
,2439.0,4539.0,2995.0,1544.0,508339.0,208.0,112.0,1.86,2016,Ogemaw,66,0
,2436.0,4548.0,2994.0,1554.0,503770.0,207.0,111.0,1.87,2016,Ogemaw,66,0
,2407.0,4473.0,2943.0,1530.0,497439.0,207.0,111.0,1.86,2016,Ogemaw,66,0
,2403.0,4457.0,2932.0,1525.0,488901.0,203.0,110.0,1.85,2016,Ogemaw,66,0
,2397.0,4460.0,2912.0,1548.0,488110.0,204.0,109.0,1.86,2016,Ogemaw,66,0
,2366.0,4386.0,2881.0,1505.0,479694.0,203.0,109.0,1.85,2016,Ogemaw,66,0
,2433.0,4504.0,2979.0,1525.0,495402.0,204.0,110.0,1.85,2016,Ogemaw,66,0
