Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,15762.0,28178.0,16995.0,11183.0,3559757.0,226.0,126.0,1.79,2016,Washtenaw,82,0
,15739.0,28133.0,16952.0,11181.0,3570359.0,227.0,127.0,1.79,2016,Washtenaw,82,0
,15640.0,27972.0,16844.0,11128.0,3534746.0,226.0,126.0,1.79,2016,Washtenaw,82,0
,15695.0,27952.0,16882.0,11070.0,3500954.0,223.0,125.0,1.78,2016,Washtenaw,82,0
,15724.0,27915.0,16921.0,10994.0,3536791.0,225.0,127.0,1.78,2016,Washtenaw,82,0
,15668.0,27882.0,16868.0,11014.0,3517703.0,225.0,126.0,1.78,2016,Washtenaw,82,0
,15627.0,27780.0,16836.0,10944.0,3498089.0,224.0,126.0,1.78,2016,Washtenaw,82,0
,15566.0,27642.0,16738.0,10904.0,3487261.0,224.0,126.0,1.78,2016,Washtenaw,82,0
,15488.0,27568.0,16673.0,10895.0,3484652.0,225.0,126.0,1.78,2016,Washtenaw,82,0
,15371.0,27394.0,16537.0,10857.0,3422040.0,223.0,125.0,1.78,2016,Washtenaw,82,0
,15322.0,27313.0,16525.0,10788.0,3417504.0,223.0,125.0,1.78,2016,Washtenaw,82,0
,15228.0,27202.0,16413.0,10789.0,3388457.0,223.0,125.0,1.79,2016,Washtenaw,82,0
,15569.0,27744.0,16765.0,10979.0,3493193.0,224.0,126.0,1.78,2016,Washtenaw,82,0
