Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,4393.0,8810.0,5268.0,3542.0,993586.0,226.0,113.0,2.01,2017,Lapeer,45,0
,4360.0,8753.0,5251.0,3502.0,987446.0,226.0,113.0,2.01,2017,Lapeer,45,0
,4347.0,8786.0,5262.0,3524.0,996892.0,229.0,113.0,2.02,2017,Lapeer,45,0
,4377.0,8820.0,5277.0,3543.0,993564.0,227.0,113.0,2.02,2017,Lapeer,45,0
,4371.0,8794.0,5267.0,3527.0,992137.0,227.0,113.0,2.01,2017,Lapeer,45,0
,4350.0,8808.0,5246.0,3562.0,988209.0,227.0,112.0,2.02,2017,Lapeer,45,0
,4278.0,8562.0,5131.0,3431.0,969155.0,227.0,113.0,2.0,2017,Lapeer,45,0
,4234.0,8445.0,5061.0,3384.0,958469.0,226.0,113.0,1.99,2017,Lapeer,45,0
,4208.0,8335.0,4996.0,3339.0,940914.0,224.0,113.0,1.98,2017,Lapeer,45,0
,4211.0,8299.0,4971.0,3328.0,937581.0,223.0,113.0,1.97,2017,Lapeer,45,0
,4222.0,8297.0,4982.0,3315.0,976031.0,231.0,118.0,1.97,2017,Lapeer,45,0
,4222.0,8253.0,4968.0,3285.0,970017.0,230.0,118.0,1.95,2017,Lapeer,45,0
,4298.0,8580.0,5140.0,3440.0,975333.0,227.0,114.0,2.0,2017,Lapeer,45,0
