Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,4390.0,8930.0,5427.0,3503.0,995931.0,227.0,112.0,2.03,2017,Montcalm,60,0
,4390.0,8934.0,5412.0,3522.0,982133.0,224.0,110.0,2.04,2017,Montcalm,60,0
,4368.0,8877.0,5379.0,3498.0,971155.0,222.0,109.0,2.03,2017,Montcalm,60,0
,4409.0,8999.0,5465.0,3534.0,978854.0,222.0,109.0,2.04,2017,Montcalm,60,0
,4397.0,9012.0,5444.0,3568.0,998113.0,227.0,111.0,2.05,2017,Montcalm,60,0
,4367.0,8902.0,5395.0,3507.0,991086.0,227.0,111.0,2.04,2017,Montcalm,60,0
,4319.0,8795.0,5333.0,3462.0,980512.0,227.0,111.0,2.04,2017,Montcalm,60,0
,4299.0,8711.0,5305.0,3406.0,960639.0,223.0,110.0,2.03,2017,Montcalm,60,0
,4259.0,8586.0,5229.0,3357.0,931745.0,219.0,109.0,2.02,2017,Montcalm,60,0
,4215.0,8510.0,5166.0,3344.0,929005.0,220.0,109.0,2.02,2017,Montcalm,60,0
,4165.0,8352.0,5094.0,3258.0,952397.0,229.0,114.0,2.01,2017,Montcalm,60,0
,4130.0,8334.0,5074.0,3260.0,948375.0,230.0,114.0,2.02,2017,Montcalm,60,0
,4309.0,8745.0,5310.0,3435.0,968329.0,225.0,111.0,2.03,2017,Montcalm,60,0
