Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,1907.0,3628.0,2293.0,1335.0,373473.0,196.0,103.0,1.9,2017,Otsego,70,0
,1898.0,3604.0,2279.0,1325.0,375451.0,198.0,104.0,1.9,2017,Otsego,70,0
,1883.0,3619.0,2272.0,1347.0,368962.0,196.0,102.0,1.92,2017,Otsego,70,0
,1870.0,3557.0,2254.0,1303.0,368236.0,197.0,104.0,1.9,2017,Otsego,70,0
,1873.0,3537.0,2252.0,1285.0,370467.0,198.0,105.0,1.89,2017,Otsego,70,0
,1878.0,3570.0,2268.0,1302.0,367210.0,196.0,103.0,1.9,2017,Otsego,70,0
,1892.0,3621.0,2304.0,1317.0,372651.0,197.0,103.0,1.91,2017,Otsego,70,0
,1882.0,3589.0,2290.0,1299.0,375497.0,200.0,105.0,1.91,2017,Otsego,70,0
,1855.0,3516.0,2250.0,1266.0,368858.0,199.0,105.0,1.9,2017,Otsego,70,0
,1814.0,3436.0,2195.0,1241.0,352161.0,194.0,102.0,1.89,2017,Otsego,70,0
,1803.0,3426.0,2181.0,1245.0,366386.0,203.0,107.0,1.9,2017,Otsego,70,0
,1790.0,3369.0,2146.0,1223.0,364331.0,204.0,108.0,1.88,2017,Otsego,70,0
,1862.0,3539.0,2249.0,1291.0,368640.0,198.0,104.0,1.9,2017,Otsego,70,0
