Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,4808.0,9434.0,5792.0,3642.0,1062600.0,221.0,113.0,1.96,2017,Shiawassee,77,0
,4753.0,9295.0,5732.0,3563.0,1043327.0,220.0,112.0,1.96,2017,Shiawassee,77,0
,4723.0,9246.0,5691.0,3555.0,1033881.0,219.0,112.0,1.96,2017,Shiawassee,77,0
,4705.0,9207.0,5674.0,3533.0,1022299.0,217.0,111.0,1.96,2017,Shiawassee,77,0
,4713.0,9235.0,5699.0,3536.0,1033228.0,219.0,112.0,1.96,2017,Shiawassee,77,0
,4686.0,9134.0,5647.0,3487.0,1019457.0,218.0,112.0,1.95,2017,Shiawassee,77,0
,4663.0,9079.0,5628.0,3451.0,1006986.0,216.0,111.0,1.95,2017,Shiawassee,77,0
,4652.0,9029.0,5606.0,3423.0,1006967.0,216.0,112.0,1.94,2017,Shiawassee,77,0
,4558.0,8807.0,5476.0,3331.0,969398.0,213.0,110.0,1.93,2017,Shiawassee,77,0
,4472.0,8559.0,5349.0,3210.0,947931.0,212.0,111.0,1.91,2017,Shiawassee,77,0
,4454.0,8542.0,5328.0,3214.0,986337.0,221.0,115.0,1.92,2017,Shiawassee,77,0
,4454.0,8544.0,5323.0,3221.0,989006.0,222.0,116.0,1.92,2017,Shiawassee,77,0
,4637.0,9009.0,5579.0,3431.0,1010118.0,218.0,112.0,1.94,2017,Shiawassee,77,0
