Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,2411.0,4292.0,2885.0,1407.0,469382.0,195.0,109.0,1.78,2018,Alpena,5,0
,2387.0,4228.0,2844.0,1384.0,450633.0,189.0,107.0,1.77,2018,Alpena,5,0
,2383.0,4218.0,2840.0,1378.0,460470.0,193.0,109.0,1.77,2018,Alpena,5,0
,2414.0,4278.0,2880.0,1398.0,460884.0,191.0,108.0,1.77,2018,Alpena,5,0
,2436.0,4292.0,2890.0,1402.0,464345.0,191.0,108.0,1.76,2018,Alpena,5,0
,2408.0,4204.0,2855.0,1349.0,459359.0,191.0,109.0,1.75,2018,Alpena,5,0
,2409.0,4167.0,2845.0,1322.0,454362.0,189.0,109.0,1.73,2018,Alpena,5,0
,2412.0,4174.0,2849.0,1325.0,451705.0,187.0,108.0,1.73,2018,Alpena,5,0
,2386.0,4146.0,2821.0,1325.0,447983.0,188.0,108.0,1.74,2018,Alpena,5,0
,2370.0,4106.0,2813.0,1293.0,445552.0,188.0,109.0,1.73,2018,Alpena,5,0
,2362.0,4074.0,2796.0,1278.0,444014.0,188.0,109.0,1.72,2018,Alpena,5,0
,2359.0,4030.0,2778.0,1252.0,428186.0,182.0,106.0,1.71,2018,Alpena,5,0
,2395.0,4184.0,2841.0,1343.0,453073.0,189.0,108.0,1.75,2018,Alpena,5,0
