Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,11327.0,21802.0,12266.0,9536.0,2594511.0,229.0,119.0,1.92,2018,Berrien,12,0
,11237.0,21634.0,12223.0,9411.0,2562827.0,228.0,118.0,1.93,2018,Berrien,12,0
,11140.0,21354.0,12140.0,9214.0,2551114.0,229.0,119.0,1.92,2018,Berrien,12,0
,11152.0,21386.0,12167.0,9219.0,2523308.0,226.0,118.0,1.92,2018,Berrien,12,0
,11118.0,21292.0,12124.0,9168.0,2525145.0,227.0,119.0,1.92,2018,Berrien,12,0
,11038.0,21098.0,12018.0,9080.0,2487202.0,225.0,118.0,1.91,2018,Berrien,12,0
,10814.0,20830.0,11761.0,9069.0,2462485.0,228.0,118.0,1.93,2018,Berrien,12,0
,10697.0,20592.0,11624.0,8968.0,2420044.0,226.0,118.0,1.93,2018,Berrien,12,0
,10309.0,20096.0,11157.0,8939.0,2323451.0,225.0,116.0,1.95,2018,Berrien,12,0
,10261.0,20127.0,11107.0,9020.0,2320518.0,226.0,115.0,1.96,2018,Berrien,12,0
,10063.0,19704.0,10863.0,8841.0,2272521.0,226.0,115.0,1.96,2018,Berrien,12,0
,10006.0,19551.0,10801.0,8750.0,2221514.0,222.0,114.0,1.95,2018,Berrien,12,0
,10764.0,20789.0,11688.0,9101.0,2438720.0,227.0,117.0,1.93,2018,Berrien,12,0
