Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,1753.0,3290.0,2150.0,1140.0,360332.0,206.0,110.0,1.88,2018,Cheboygan,17,0
,1796.0,3357.0,2199.0,1158.0,362961.0,202.0,108.0,1.87,2018,Cheboygan,17,0
,1831.0,3432.0,2244.0,1188.0,378085.0,206.0,110.0,1.87,2018,Cheboygan,17,0
,1852.0,3495.0,2277.0,1218.0,380611.0,206.0,109.0,1.89,2018,Cheboygan,17,0
,1863.0,3480.0,2280.0,1200.0,379678.0,204.0,109.0,1.87,2018,Cheboygan,17,0
,1861.0,3464.0,2269.0,1195.0,373830.0,201.0,108.0,1.86,2018,Cheboygan,17,0
,1848.0,3473.0,2262.0,1211.0,378550.0,205.0,109.0,1.88,2018,Cheboygan,17,0
,1831.0,3420.0,2235.0,1185.0,376478.0,206.0,110.0,1.87,2018,Cheboygan,17,0
,1793.0,3336.0,2190.0,1146.0,362209.0,202.0,109.0,1.86,2018,Cheboygan,17,0
,1746.0,3228.0,2110.0,1118.0,348190.0,199.0,108.0,1.85,2018,Cheboygan,17,0
,1695.0,3087.0,2031.0,1056.0,327752.0,193.0,106.0,1.82,2018,Cheboygan,17,0
,1669.0,3009.0,1998.0,1011.0,310671.0,186.0,103.0,1.8,2018,Cheboygan,17,0
,1795.0,3339.0,2187.0,1152.0,361612.0,201.0,108.0,1.86,2018,Cheboygan,17,0
