Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,1122.0,2005.0,1329.0,676.0,215445.0,192.0,107.0,1.79,2018,Emmet,25,0
,1141.0,2061.0,1361.0,700.0,215097.0,189.0,104.0,1.81,2018,Emmet,25,0
,1151.0,2080.0,1370.0,710.0,216076.0,188.0,104.0,1.81,2018,Emmet,25,0
,1151.0,2095.0,1377.0,718.0,217962.0,189.0,104.0,1.82,2018,Emmet,25,0
,1144.0,2080.0,1358.0,722.0,217121.0,190.0,104.0,1.82,2018,Emmet,25,0
,1136.0,2004.0,1340.0,664.0,210501.0,185.0,105.0,1.76,2018,Emmet,25,0
,1133.0,1974.0,1323.0,651.0,212193.0,187.0,107.0,1.74,2018,Emmet,25,0
,1131.0,1967.0,1324.0,643.0,215591.0,191.0,110.0,1.74,2018,Emmet,25,0
,1098.0,1920.0,1274.0,646.0,206427.0,188.0,108.0,1.75,2018,Emmet,25,0
,1070.0,1852.0,1231.0,621.0,196089.0,183.0,106.0,1.73,2018,Emmet,25,0
,1030.0,1749.0,1180.0,569.0,183832.0,178.0,105.0,1.7,2018,Emmet,25,0
,988.0,1675.0,1135.0,540.0,167552.0,170.0,100.0,1.7,2018,Emmet,25,0
,1108.0,1955.0,1300.0,655.0,206157.0,186.0,105.0,1.76,2018,Emmet,25,0
