Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,16039.0,29591.0,17402.0,12189.0,3657227.0,228.0,124.0,1.84,2018,Kalamazoo,40,0
,16057.0,29670.0,17421.0,12249.0,3616073.0,225.0,122.0,1.85,2018,Kalamazoo,40,0
,15833.0,29298.0,17188.0,12110.0,3596714.0,227.0,123.0,1.85,2018,Kalamazoo,40,0
,15678.0,29034.0,17033.0,12001.0,3527056.0,225.0,121.0,1.85,2018,Kalamazoo,40,0
,15416.0,28477.0,16756.0,11721.0,3476726.0,226.0,122.0,1.85,2018,Kalamazoo,40,0
,15288.0,28338.0,16634.0,11704.0,3417116.0,224.0,121.0,1.85,2018,Kalamazoo,40,0
,15068.0,27974.0,16398.0,11576.0,3359310.0,223.0,120.0,1.86,2018,Kalamazoo,40,0
,14984.0,27779.0,16282.0,11497.0,3322381.0,222.0,120.0,1.85,2018,Kalamazoo,40,0
,14524.0,27237.0,15754.0,11483.0,3223407.0,222.0,118.0,1.88,2018,Kalamazoo,40,0
,14445.0,27167.0,15666.0,11501.0,3213991.0,222.0,118.0,1.88,2018,Kalamazoo,40,0
,14344.0,26974.0,15523.0,11451.0,3208352.0,224.0,119.0,1.88,2018,Kalamazoo,40,0
,14284.0,26950.0,15465.0,11485.0,3153470.0,221.0,117.0,1.89,2018,Kalamazoo,40,0
,15163.0,28207.0,16460.0,11747.0,3397652.0,224.0,120.0,1.86,2018,Kalamazoo,40,0
