Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,3778.0,7487.0,4595.0,2892.0,827598.0,219.0,111.0,1.98,2018,Newaygo,63,0
,3784.0,7465.0,4601.0,2864.0,812366.0,215.0,109.0,1.97,2018,Newaygo,63,0
,3760.0,7418.0,4580.0,2838.0,826775.0,220.0,111.0,1.97,2018,Newaygo,63,0
,3782.0,7501.0,4619.0,2882.0,828323.0,219.0,110.0,1.98,2018,Newaygo,63,0
,3793.0,7516.0,4628.0,2888.0,843285.0,222.0,112.0,1.98,2018,Newaygo,63,0
,3798.0,7500.0,4631.0,2869.0,832159.0,219.0,111.0,1.97,2018,Newaygo,63,0
,3759.0,7416.0,4586.0,2830.0,820523.0,218.0,111.0,1.97,2018,Newaygo,63,0
,3693.0,7178.0,4462.0,2716.0,794047.0,215.0,111.0,1.94,2018,Newaygo,63,0
,3699.0,7184.0,4448.0,2736.0,788166.0,213.0,110.0,1.94,2018,Newaygo,63,0
,3681.0,7170.0,4454.0,2716.0,786831.0,214.0,110.0,1.95,2018,Newaygo,63,0
,3633.0,7056.0,4368.0,2688.0,787494.0,217.0,112.0,1.94,2018,Newaygo,63,0
,3595.0,7017.0,4331.0,2686.0,772299.0,215.0,110.0,1.95,2018,Newaygo,63,0
,3730.0,7326.0,4525.0,2800.0,809989.0,217.0,111.0,1.96,2018,Newaygo,63,0
