Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,2195.0,4334.0,2604.0,1730.0,455120.0,207.0,105.0,1.97,2019,Branch,13,0
,2156.0,4235.0,2567.0,1668.0,440799.0,204.0,104.0,1.96,2019,Branch,13,0
,2123.0,4174.0,2527.0,1647.0,439364.0,207.0,105.0,1.97,2019,Branch,13,0
,2166.0,4249.0,2572.0,1677.0,446302.0,206.0,105.0,1.96,2019,Branch,13,0
,2130.0,4205.0,2523.0,1682.0,442244.0,208.0,105.0,1.97,2019,Branch,13,0
,2107.0,4117.0,2487.0,1630.0,435604.0,207.0,106.0,1.95,2019,Branch,13,0
,2109.0,4189.0,2505.0,1684.0,435604.0,207.0,104.0,1.99,2019,Branch,13,0
,2110.0,4236.0,2503.0,1733.0,434942.0,206.0,103.0,2.01,2019,Branch,13,0
,2092.0,4220.0,2475.0,1745.0,434152.0,208.0,103.0,2.02,2019,Branch,13,0
,2098.0,4276.0,2488.0,1788.0,440599.0,210.0,103.0,2.04,2019,Branch,13,0
,2082.0,4222.0,2455.0,1767.0,445041.0,214.0,105.0,2.03,2019,Branch,13,0
,2032.0,4084.0,2380.0,1704.0,430915.0,212.0,106.0,2.01,2019,Branch,13,0
,2117.0,4212.0,2507.0,1705.0,440057.0,208.0,104.0,1.99,2019,Branch,13,0
