Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,1333.0,2280.0,1570.0,710.0,257424.0,193.0,113.0,1.71,2019,Gogebic,28,0
,1313.0,2271.0,1546.0,725.0,251661.0,192.0,111.0,1.73,2019,Gogebic,28,0
,1292.0,2237.0,1516.0,721.0,249767.0,193.0,112.0,1.73,2019,Gogebic,28,0
,1293.0,2260.0,1533.0,727.0,247129.0,191.0,109.0,1.75,2019,Gogebic,28,0
,1281.0,2230.0,1519.0,711.0,244915.0,191.0,110.0,1.74,2019,Gogebic,28,0
,1260.0,2193.0,1497.0,696.0,238285.0,189.0,109.0,1.74,2019,Gogebic,28,0
,1256.0,2180.0,1486.0,694.0,233973.0,186.0,107.0,1.74,2019,Gogebic,28,0
,1248.0,2169.0,1469.0,700.0,232371.0,186.0,107.0,1.74,2019,Gogebic,28,0
,1233.0,2132.0,1440.0,692.0,230015.0,187.0,108.0,1.73,2019,Gogebic,28,0
,1209.0,2065.0,1404.0,661.0,231044.0,191.0,112.0,1.71,2019,Gogebic,28,0
,1221.0,2093.0,1419.0,674.0,231413.0,190.0,111.0,1.71,2019,Gogebic,28,0
,1204.0,2083.0,1411.0,672.0,221273.0,184.0,106.0,1.73,2019,Gogebic,28,0
,1262.0,2183.0,1484.0,699.0,239106.0,189.0,110.0,1.73,2019,Gogebic,28,0
