Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,2623.0,5115.0,3161.0,1954.0,582977.0,222.0,114.0,1.95,2019,Hillsdale,31,0
,2621.0,5118.0,3152.0,1966.0,577666.0,220.0,113.0,1.95,2019,Hillsdale,31,0
,2598.0,5036.0,3124.0,1912.0,573227.0,221.0,114.0,1.94,2019,Hillsdale,31,0
,2587.0,4980.0,3096.0,1884.0,557557.0,216.0,112.0,1.93,2019,Hillsdale,31,0
,2586.0,4972.0,3094.0,1878.0,560124.0,217.0,113.0,1.92,2019,Hillsdale,31,0
,2577.0,4985.0,3074.0,1911.0,558180.0,217.0,112.0,1.93,2019,Hillsdale,31,0
,2595.0,5018.0,3098.0,1920.0,556952.0,215.0,111.0,1.93,2019,Hillsdale,31,0
,2582.0,4988.0,3066.0,1922.0,551471.0,214.0,111.0,1.93,2019,Hillsdale,31,0
,2553.0,4901.0,3015.0,1886.0,541393.0,212.0,110.0,1.92,2019,Hillsdale,31,0
,2542.0,4928.0,3009.0,1919.0,546157.0,215.0,111.0,1.94,2019,Hillsdale,31,0
,2547.0,4959.0,3016.0,1943.0,553836.0,217.0,112.0,1.95,2019,Hillsdale,31,0
,2559.0,4932.0,3023.0,1909.0,551772.0,216.0,112.0,1.93,2019,Hillsdale,31,0
,2581.0,4994.0,3077.0,1917.0,559276.0,217.0,112.0,1.94,2019,Hillsdale,31,0
