Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,1629.0,2985.0,1914.0,1071.0,321853.0,198.0,108.0,1.83,2019,Huron,33,0
,1618.0,2946.0,1901.0,1045.0,316378.0,196.0,107.0,1.82,2019,Huron,33,0
,1618.0,2956.0,1904.0,1052.0,319232.0,197.0,108.0,1.83,2019,Huron,33,0
,1623.0,2939.0,1906.0,1033.0,302559.0,186.0,103.0,1.81,2019,Huron,33,0
,1618.0,2904.0,1896.0,1008.0,307413.0,190.0,106.0,1.79,2019,Huron,33,0
,1601.0,2871.0,1869.0,1002.0,300390.0,188.0,105.0,1.79,2019,Huron,33,0
,1607.0,2868.0,1869.0,999.0,303758.0,189.0,106.0,1.78,2019,Huron,33,0
,1595.0,2853.0,1858.0,995.0,297025.0,186.0,104.0,1.79,2019,Huron,33,0
,1573.0,2807.0,1832.0,975.0,293309.0,186.0,104.0,1.78,2019,Huron,33,0
,1558.0,2851.0,1830.0,1021.0,291016.0,187.0,102.0,1.83,2019,Huron,33,0
,1545.0,2804.0,1809.0,995.0,292919.0,190.0,104.0,1.81,2019,Huron,33,0
,1535.0,2767.0,1791.0,976.0,283194.0,184.0,102.0,1.8,2019,Huron,33,0
,1593.0,2879.0,1865.0,1014.0,302421.0,190.0,105.0,1.81,2019,Huron,33,0
