Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,3018.0,5699.0,3472.0,2227.0,633599.0,210.0,111.0,1.89,2019,Ionia,35,0
,2998.0,5594.0,3442.0,2152.0,620652.0,207.0,111.0,1.87,2019,Ionia,35,0
,3004.0,5634.0,3450.0,2184.0,619647.0,206.0,110.0,1.88,2019,Ionia,35,0
,3001.0,5690.0,3442.0,2248.0,611393.0,204.0,107.0,1.9,2019,Ionia,35,0
,3018.0,5690.0,3448.0,2242.0,626996.0,208.0,110.0,1.89,2019,Ionia,35,0
,2963.0,5628.0,3392.0,2236.0,611981.0,207.0,109.0,1.9,2019,Ionia,35,0
,2941.0,5584.0,3380.0,2204.0,605352.0,206.0,108.0,1.9,2019,Ionia,35,0
,2908.0,5486.0,3357.0,2129.0,591830.0,204.0,108.0,1.89,2019,Ionia,35,0
,2899.0,5482.0,3357.0,2125.0,591617.0,204.0,108.0,1.89,2019,Ionia,35,0
,2884.0,5427.0,3327.0,2100.0,585048.0,203.0,108.0,1.88,2019,Ionia,35,0
,2881.0,5418.0,3307.0,2111.0,595801.0,207.0,110.0,1.88,2019,Ionia,35,0
,2881.0,5410.0,3312.0,2098.0,583772.0,203.0,108.0,1.88,2019,Ionia,35,0
,2950.0,5562.0,3391.0,2171.0,606474.0,206.0,109.0,1.89,2019,Ionia,35,0
