Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,91.0,133.0,104.0,29.0,12885.0,142.0,97.0,1.46,2019,Keweenaw,43,0
,85.0,128.0,98.0,30.0,12768.0,150.0,100.0,1.51,2019,Keweenaw,43,0
,84.0,127.0,97.0,30.0,12597.0,150.0,99.0,1.51,2019,Keweenaw,43,0
,85.0,127.0,99.0,28.0,12059.0,142.0,95.0,1.49,2019,Keweenaw,43,0
,86.0,126.0,98.0,28.0,12654.0,147.0,100.0,1.47,2019,Keweenaw,43,0
,85.0,129.0,95.0,34.0,12093.0,142.0,94.0,1.52,2019,Keweenaw,43,0
,92.0,145.0,107.0,38.0,14148.0,154.0,98.0,1.58,2019,Keweenaw,43,0
,88.0,135.0,102.0,33.0,13375.0,152.0,99.0,1.53,2019,Keweenaw,43,0
,91.0,142.0,106.0,36.0,14005.0,154.0,99.0,1.56,2019,Keweenaw,43,0
,90.0,140.0,103.0,37.0,14503.0,161.0,104.0,1.56,2019,Keweenaw,43,0
,88.0,137.0,99.0,38.0,14351.0,163.0,105.0,1.56,2019,Keweenaw,43,0
,94.0,154.0,107.0,47.0,14680.0,156.0,95.0,1.64,2019,Keweenaw,43,0
,88.0,135.0,101.0,34.0,13343.0,151.0,99.0,1.53,2019,Keweenaw,43,0
