Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,1587.0,2840.0,1881.0,959.0,297881.0,188.0,105.0,1.79,2019,Manistee,52,0
,1540.0,2771.0,1827.0,944.0,289505.0,188.0,104.0,1.8,2019,Manistee,52,0
,1513.0,2720.0,1803.0,917.0,291220.0,192.0,107.0,1.8,2019,Manistee,52,0
,1551.0,2805.0,1851.0,954.0,289741.0,187.0,103.0,1.81,2019,Manistee,52,0
,1548.0,2781.0,1843.0,938.0,288753.0,187.0,104.0,1.8,2019,Manistee,52,0
,1544.0,2765.0,1847.0,918.0,287405.0,186.0,104.0,1.79,2019,Manistee,52,0
,1523.0,2733.0,1818.0,915.0,290291.0,191.0,106.0,1.79,2019,Manistee,52,0
,1489.0,2643.0,1770.0,873.0,280788.0,189.0,106.0,1.78,2019,Manistee,52,0
,1470.0,2623.0,1739.0,884.0,275891.0,188.0,105.0,1.78,2019,Manistee,52,0
,1466.0,2638.0,1738.0,900.0,281623.0,192.0,107.0,1.8,2019,Manistee,52,0
,1458.0,2585.0,1722.0,863.0,277723.0,190.0,107.0,1.77,2019,Manistee,52,0
,1454.0,2586.0,1711.0,875.0,275022.0,189.0,106.0,1.78,2019,Manistee,52,0
,1512.0,2708.0,1796.0,912.0,285487.0,189.0,105.0,1.79,2019,Manistee,52,0
