Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,716.0,1236.0,876.0,360.0,127085.0,177.0,103.0,1.73,2019,Oscoda,69,0
,722.0,1238.0,882.0,356.0,128351.0,178.0,104.0,1.71,2019,Oscoda,69,0
,725.0,1255.0,882.0,373.0,131573.0,181.0,105.0,1.73,2019,Oscoda,69,0
,704.0,1232.0,866.0,366.0,125944.0,179.0,102.0,1.75,2019,Oscoda,69,0
,701.0,1216.0,864.0,352.0,124266.0,177.0,102.0,1.73,2019,Oscoda,69,0
,691.0,1170.0,845.0,325.0,121929.0,176.0,104.0,1.69,2019,Oscoda,69,0
,683.0,1152.0,839.0,313.0,118197.0,173.0,103.0,1.69,2019,Oscoda,69,0
,679.0,1142.0,831.0,311.0,117427.0,173.0,103.0,1.68,2019,Oscoda,69,0
,675.0,1153.0,836.0,317.0,116914.0,173.0,101.0,1.71,2019,Oscoda,69,0
,667.0,1144.0,826.0,318.0,114147.0,171.0,100.0,1.72,2019,Oscoda,69,0
,651.0,1110.0,800.0,310.0,112723.0,173.0,102.0,1.71,2019,Oscoda,69,0
,640.0,1115.0,793.0,322.0,111390.0,174.0,100.0,1.74,2019,Oscoda,69,0
,688.0,1180.0,845.0,335.0,120829.0,176.0,102.0,1.72,2019,Oscoda,69,0
