Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,11038.0,19948.0,12531.0,7417.0,2399553.0,217.0,120.0,1.81,2019,St. Clair,78,0
,10864.0,19688.0,12310.0,7378.0,2366443.0,218.0,120.0,1.81,2019,St. Clair,78,0
,10825.0,19647.0,12303.0,7344.0,2365326.0,219.0,120.0,1.81,2019,St. Clair,78,0
,10912.0,19841.0,12412.0,7429.0,2355006.0,216.0,119.0,1.82,2019,St. Clair,78,0
,10854.0,19699.0,12336.0,7363.0,2351959.0,217.0,119.0,1.81,2019,St. Clair,78,0
,10715.0,19462.0,12152.0,7310.0,2316727.0,216.0,119.0,1.82,2019,St. Clair,78,0
,10626.0,19400.0,12075.0,7325.0,2308582.0,217.0,119.0,1.83,2019,St. Clair,78,0
,10574.0,19352.0,12011.0,7341.0,2304296.0,218.0,119.0,1.83,2019,St. Clair,78,0
,10448.0,19156.0,11863.0,7293.0,2256340.0,216.0,118.0,1.83,2019,St. Clair,78,0
,10376.0,19150.0,11801.0,7349.0,2254816.0,217.0,118.0,1.85,2019,St. Clair,78,0
,10221.0,18881.0,11620.0,7261.0,2220335.0,217.0,118.0,1.85,2019,St. Clair,78,0
,10067.0,18643.0,11433.0,7210.0,2170504.0,216.0,116.0,1.85,2019,St. Clair,78,0
,10627.0,19406.0,12071.0,7335.0,2305824.0,217.0,119.0,1.83,2019,St. Clair,78,0
