Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,3986.0,8040.0,4444.0,3596.0,863786.0,217.0,107.0,2.02,2020,Allegan,4,0
,3957.0,7970.0,4429.0,3541.0,870951.0,220.0,109.0,2.01,2020,Allegan,4,0
,4066.0,8214.0,4576.0,3638.0,883923.0,217.0,108.0,2.02,2020,Allegan,4,0
,4137.0,8334.0,4670.0,3664.0,894525.0,216.0,107.0,2.01,2020,Allegan,4,0
,4195.0,8433.0,4743.0,3690.0,915391.0,218.0,109.0,2.01,2020,Allegan,4,0
,4455.0,9022.0,5066.0,3956.0,1468070.0,330.0,163.0,2.03,2020,Allegan,4,0
,5119.0,10647.0,5966.0,4681.0,1668439.0,326.0,157.0,2.08,2020,Allegan,4,0
,5199.0,10818.0,6059.0,4759.0,1828579.0,352.0,169.0,2.08,2020,Allegan,4,0
,4755.0,9485.0,5420.0,4065.0,1615122.0,340.0,170.0,1.99,2020,Allegan,4,0
,4581.0,8905.0,5152.0,3753.0,1524856.0,333.0,171.0,1.94,2020,Allegan,4,0
,4502.0,8784.0,5036.0,3748.0,1475290.0,328.0,168.0,1.95,2020,Allegan,4,0
,4544.0,8918.0,5121.0,3797.0,1482875.0,326.0,166.0,1.96,2020,Allegan,4,0
,4458.0,8964.0,5057.0,3907.0,1290984.0,285.0,142.0,2.01,2020,Allegan,4,0
