Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,7225.0,12694.0,8093.0,4601.0,1413624.0,196.0,111.0,1.76,2020,Bay,10,0
,7180.0,12665.0,8048.0,4617.0,1406812.0,196.0,111.0,1.76,2020,Bay,10,0
,7312.0,12875.0,8196.0,4679.0,1429678.0,196.0,111.0,1.76,2020,Bay,10,0
,7447.0,13121.0,8388.0,4733.0,1420755.0,191.0,108.0,1.76,2020,Bay,10,0
,7506.0,13188.0,8459.0,4729.0,1444469.0,192.0,110.0,1.76,2020,Bay,10,0
,7864.0,13883.0,8908.0,4975.0,2341856.0,298.0,169.0,1.77,2020,Bay,10,0
,8876.0,16013.0,10203.0,5810.0,2579548.0,291.0,161.0,1.8,2020,Bay,10,0
,8903.0,16053.0,10247.0,5806.0,2795673.0,314.0,174.0,1.8,2020,Bay,10,0
,8164.0,14028.0,9196.0,4832.0,2458055.0,301.0,175.0,1.72,2020,Bay,10,0
,7719.0,12911.0,8578.0,4333.0,2273854.0,295.0,176.0,1.67,2020,Bay,10,0
,7502.0,12612.0,8311.0,4301.0,2174389.0,290.0,172.0,1.68,2020,Bay,10,0
,7550.0,12904.0,8396.0,4508.0,2206611.0,292.0,171.0,1.71,2020,Bay,10,0
,7771.0,13579.0,8752.0,4827.0,1995444.0,254.0,146.0,1.75,2020,Bay,10,0
