Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,2709.0,5228.0,3086.0,2142.0,595882.0,220.0,114.0,1.93,2020,Cass,15,0
,2688.0,5203.0,3066.0,2137.0,592788.0,221.0,114.0,1.94,2020,Cass,15,0
,2741.0,5312.0,3134.0,2178.0,609165.0,222.0,115.0,1.94,2020,Cass,15,0
,2825.0,5487.0,3242.0,2245.0,614566.0,218.0,112.0,1.94,2020,Cass,15,0
,2809.0,5456.0,3215.0,2241.0,623809.0,222.0,114.0,1.94,2020,Cass,15,0
,2947.0,5756.0,3401.0,2355.0,950364.0,322.0,165.0,1.95,2020,Cass,15,0
,3399.0,6839.0,4000.0,2839.0,1082555.0,318.0,158.0,2.01,2020,Cass,15,0
,3480.0,6991.0,4111.0,2880.0,1197680.0,344.0,171.0,2.01,2020,Cass,15,0
,3294.0,6399.0,3840.0,2559.0,1098291.0,333.0,172.0,1.94,2020,Cass,15,0
,3181.0,6060.0,3673.0,2387.0,1042537.0,328.0,172.0,1.91,2020,Cass,15,0
,3132.0,5951.0,3610.0,2341.0,1013855.0,324.0,170.0,1.9,2020,Cass,15,0
,3132.0,5953.0,3589.0,2364.0,1003117.0,320.0,169.0,1.9,2020,Cass,15,0
,3028.0,5886.0,3497.0,2389.0,868717.0,283.0,146.0,1.94,2020,Cass,15,0
