Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,776.0,1359.0,891.0,468.0,134677.0,174.0,99.0,1.75,2020,Charlevoix,16,0
,796.0,1399.0,918.0,481.0,139344.0,175.0,100.0,1.76,2020,Charlevoix,16,0
,813.0,1419.0,930.0,489.0,143061.0,176.0,101.0,1.75,2020,Charlevoix,16,0
,837.0,1464.0,960.0,504.0,145860.0,174.0,100.0,1.75,2020,Charlevoix,16,0
,849.0,1482.0,966.0,516.0,152760.0,180.0,103.0,1.75,2020,Charlevoix,16,0
,906.0,1589.0,1039.0,550.0,262086.0,289.0,165.0,1.75,2020,Charlevoix,16,0
,1083.0,2044.0,1286.0,758.0,307397.0,284.0,150.0,1.89,2020,Charlevoix,16,0
,1138.0,2168.0,1365.0,803.0,377374.0,332.0,174.0,1.91,2020,Charlevoix,16,0
,1003.0,1758.0,1156.0,602.0,304729.0,304.0,173.0,1.75,2020,Charlevoix,16,0
,936.0,1591.0,1069.0,522.0,282979.0,302.0,178.0,1.7,2020,Charlevoix,16,0
,917.0,1546.0,1043.0,503.0,267726.0,292.0,173.0,1.69,2020,Charlevoix,16,0
,903.0,1507.0,1021.0,486.0,259090.0,287.0,172.0,1.67,2020,Charlevoix,16,0
,913.0,1611.0,1054.0,557.0,231424.0,247.0,141.0,1.76,2020,Charlevoix,16,0
