Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,2952.0,5364.0,3589.0,1775.0,596289.0,202.0,111.0,1.82,2020,Clare,19,0
,2946.0,5356.0,3566.0,1790.0,583633.0,198.0,109.0,1.82,2020,Clare,19,0
,2966.0,5380.0,3592.0,1788.0,584004.0,197.0,109.0,1.81,2020,Clare,19,0
,3032.0,5576.0,3711.0,1865.0,589707.0,194.0,106.0,1.84,2020,Clare,19,0
,3071.0,5618.0,3766.0,1852.0,613123.0,200.0,109.0,1.83,2020,Clare,19,0
,3225.0,5941.0,3964.0,1977.0,994275.0,308.0,167.0,1.84,2020,Clare,19,0
,3539.0,6689.0,4420.0,2269.0,1090127.0,308.0,163.0,1.89,2020,Clare,19,0
,3571.0,6724.0,4462.0,2262.0,1160354.0,325.0,173.0,1.88,2020,Clare,19,0
,3327.0,5988.0,4064.0,1924.0,1038338.0,312.0,173.0,1.8,2020,Clare,19,0
,3196.0,5591.0,3852.0,1739.0,979915.0,307.0,175.0,1.75,2020,Clare,19,0
,3191.0,5568.0,3840.0,1728.0,958211.0,300.0,172.0,1.74,2020,Clare,19,0
,3198.0,5612.0,3847.0,1765.0,964732.0,302.0,172.0,1.75,2020,Clare,19,0
,3185.0,5784.0,3889.0,1895.0,846059.0,263.0,145.0,1.82,2020,Clare,19,0
