Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,906.0,1483.0,1059.0,424.0,162218.0,179.0,109.0,1.64,2020,Crawford,21,0
,933.0,1533.0,1092.0,441.0,164497.0,176.0,107.0,1.64,2020,Crawford,21,0
,954.0,1578.0,1113.0,465.0,168940.0,177.0,107.0,1.65,2020,Crawford,21,0
,976.0,1643.0,1145.0,498.0,172279.0,177.0,105.0,1.68,2020,Crawford,21,0
,997.0,1714.0,1191.0,523.0,181965.0,183.0,106.0,1.72,2020,Crawford,21,0
,1062.0,1861.0,1284.0,577.0,314712.0,296.0,169.0,1.75,2020,Crawford,21,0
,1194.0,2197.0,1482.0,715.0,346066.0,290.0,158.0,1.84,2020,Crawford,21,0
,1210.0,2211.0,1503.0,708.0,387126.0,320.0,175.0,1.83,2020,Crawford,21,0
,1117.0,1948.0,1368.0,580.0,340783.0,305.0,175.0,1.74,2020,Crawford,21,0
,1058.0,1791.0,1277.0,514.0,315059.0,298.0,176.0,1.69,2020,Crawford,21,0
,1041.0,1767.0,1253.0,514.0,308710.0,297.0,175.0,1.7,2020,Crawford,21,0
,1059.0,1809.0,1278.0,531.0,314095.0,297.0,174.0,1.71,2020,Crawford,21,0
,1042.0,1795.0,1254.0,541.0,264704.0,249.0,145.0,1.72,2020,Crawford,21,0
