Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,2095.0,3605.0,2412.0,1193.0,380032.0,181.0,105.0,1.72,2020,Delta,22,0
,2098.0,3609.0,2422.0,1187.0,371791.0,177.0,103.0,1.72,2020,Delta,22,0
,2115.0,3655.0,2434.0,1221.0,382028.0,181.0,105.0,1.73,2020,Delta,22,0
,2166.0,3799.0,2511.0,1288.0,390186.0,180.0,103.0,1.75,2020,Delta,22,0
,2179.0,3836.0,2532.0,1304.0,399593.0,183.0,104.0,1.76,2020,Delta,22,0
,2270.0,4005.0,2644.0,1361.0,672499.0,296.0,168.0,1.76,2020,Delta,22,0
,2599.0,4745.0,3096.0,1649.0,748934.0,288.0,158.0,1.83,2020,Delta,22,0
,2639.0,4792.0,3139.0,1653.0,834476.0,316.0,174.0,1.82,2020,Delta,22,0
,2455.0,4241.0,2866.0,1375.0,740294.0,302.0,175.0,1.73,2020,Delta,22,0
,2343.0,3908.0,2701.0,1207.0,694829.0,297.0,178.0,1.67,2020,Delta,22,0
,2321.0,3876.0,2669.0,1207.0,670452.0,289.0,173.0,1.67,2020,Delta,22,0
,2323.0,3891.0,2673.0,1218.0,672841.0,290.0,173.0,1.67,2020,Delta,22,0
,2300.0,3997.0,2675.0,1322.0,579830.0,248.0,143.0,1.74,2020,Delta,22,0
