Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,394.0,724.0,467.0,257.0,77674.0,197.0,107.0,1.84,2020,Luce,49,0
,388.0,746.0,465.0,281.0,83127.0,214.0,111.0,1.92,2020,Luce,49,0
,397.0,741.0,473.0,268.0,83924.0,211.0,113.0,1.87,2020,Luce,49,0
,412.0,767.0,491.0,276.0,85639.0,208.0,112.0,1.86,2020,Luce,49,0
,418.0,771.0,504.0,267.0,86545.0,207.0,112.0,1.84,2020,Luce,49,0
,443.0,817.0,528.0,289.0,133844.0,302.0,164.0,1.84,2020,Luce,49,0
,480.0,893.0,575.0,318.0,144716.0,301.0,162.0,1.86,2020,Luce,49,0
,490.0,916.0,591.0,325.0,158955.0,324.0,174.0,1.87,2020,Luce,49,0
,461.0,831.0,546.0,285.0,144080.0,313.0,173.0,1.8,2020,Luce,49,0
,433.0,778.0,513.0,265.0,136907.0,316.0,176.0,1.8,2020,Luce,49,0
,421.0,734.0,492.0,242.0,126980.0,302.0,173.0,1.74,2020,Luce,49,0
,429.0,761.0,506.0,255.0,127264.0,297.0,167.0,1.77,2020,Luce,49,0
,431.0,790.0,513.0,277.0,115805.0,266.0,145.0,1.84,2020,Luce,49,0
