Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,1663.0,3430.0,1911.0,1519.0,358945.0,216.0,105.0,2.06,2020,Oceana,65,0
,1698.0,3564.0,1935.0,1629.0,370257.0,218.0,104.0,2.1,2020,Oceana,65,0
,1700.0,3542.0,1954.0,1588.0,369058.0,217.0,104.0,2.08,2020,Oceana,65,0
,1713.0,3551.0,1969.0,1582.0,372172.0,217.0,105.0,2.07,2020,Oceana,65,0
,1726.0,3561.0,1992.0,1569.0,375218.0,217.0,105.0,2.06,2020,Oceana,65,0
,1816.0,3813.0,2117.0,1696.0,618003.0,340.0,162.0,2.1,2020,Oceana,65,0
,2054.0,4430.0,2449.0,1981.0,687473.0,335.0,155.0,2.16,2020,Oceana,65,0
,2081.0,4477.0,2496.0,1981.0,756449.0,364.0,169.0,2.15,2020,Oceana,65,0
,1916.0,3970.0,2231.0,1739.0,674382.0,352.0,170.0,2.07,2020,Oceana,65,0
,1855.0,3732.0,2119.0,1613.0,632407.0,341.0,169.0,2.01,2020,Oceana,65,0
,1821.0,3607.0,2078.0,1529.0,613076.0,337.0,170.0,1.98,2020,Oceana,65,0
,1847.0,3681.0,2108.0,1573.0,616707.0,334.0,168.0,1.99,2020,Oceana,65,0
,1824.0,3780.0,2113.0,1667.0,537012.0,291.0,140.0,2.07,2020,Oceana,65,0
