Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,380.0,536.0,437.0,99.0,52634.0,139.0,98.0,1.41,2020,Ontonagon,67,0
,374.0,536.0,433.0,103.0,50399.0,135.0,94.0,1.43,2020,Ontonagon,67,0
,383.0,559.0,446.0,113.0,52654.0,137.0,94.0,1.46,2020,Ontonagon,67,0
,384.0,552.0,444.0,108.0,53421.0,139.0,97.0,1.44,2020,Ontonagon,67,0
,374.0,536.0,433.0,103.0,53052.0,142.0,99.0,1.43,2020,Ontonagon,67,0
,388.0,551.0,445.0,106.0,97804.0,252.0,178.0,1.42,2020,Ontonagon,67,0
,426.0,614.0,491.0,123.0,103769.0,244.0,169.0,1.44,2020,Ontonagon,67,0
,427.0,619.0,492.0,127.0,110991.0,260.0,179.0,1.45,2020,Ontonagon,67,0
,401.0,556.0,454.0,102.0,101516.0,253.0,183.0,1.39,2020,Ontonagon,67,0
,385.0,520.0,436.0,84.0,97003.0,252.0,187.0,1.35,2020,Ontonagon,67,0
,386.0,524.0,437.0,87.0,95389.0,247.0,182.0,1.36,2020,Ontonagon,67,0
,393.0,541.0,444.0,97.0,96567.0,246.0,178.0,1.38,2020,Ontonagon,67,0
,392.0,554.0,449.0,104.0,80433.0,204.0,145.0,1.41,2020,Ontonagon,67,0
