Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,1314.0,2511.0,1563.0,948.0,270154.0,206.0,108.0,1.91,2020,Osceola,68,0
,1301.0,2461.0,1541.0,920.0,266806.0,205.0,108.0,1.89,2020,Osceola,68,0
,1322.0,2533.0,1571.0,962.0,273783.0,207.0,108.0,1.92,2020,Osceola,68,0
,1373.0,2673.0,1638.0,1035.0,281877.0,205.0,105.0,1.95,2020,Osceola,68,0
,1376.0,2755.0,1658.0,1097.0,295098.0,214.0,107.0,2.0,2020,Osceola,68,0
,1427.0,2863.0,1718.0,1145.0,471671.0,331.0,165.0,2.01,2020,Osceola,68,0
,1639.0,3367.0,2018.0,1349.0,529144.0,323.0,157.0,2.05,2020,Osceola,68,0
,1666.0,3349.0,2031.0,1318.0,569872.0,342.0,170.0,2.01,2020,Osceola,68,0
,1525.0,2906.0,1819.0,1087.0,502898.0,330.0,173.0,1.91,2020,Osceola,68,0
,1435.0,2683.0,1691.0,992.0,461353.0,322.0,172.0,1.87,2020,Osceola,68,0
,1400.0,2587.0,1647.0,940.0,441771.0,316.0,171.0,1.85,2020,Osceola,68,0
,1429.0,2680.0,1679.0,1001.0,455483.0,319.0,170.0,1.88,2020,Osceola,68,0
,1434.0,2781.0,1715.0,1066.0,401659.0,277.0,143.0,1.94,2020,Osceola,68,0
