Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,2390.0,4470.0,2795.0,1675.0,475057.0,199.0,106.0,1.87,2020,Wexford,84,0
,2373.0,4501.0,2784.0,1717.0,476983.0,201.0,106.0,1.9,2020,Wexford,84,0
,2450.0,4662.0,2882.0,1780.0,491924.0,201.0,106.0,1.9,2020,Wexford,84,0
,2496.0,4760.0,2956.0,1804.0,494390.0,198.0,104.0,1.91,2020,Wexford,84,0
,2547.0,4875.0,3019.0,1856.0,514398.0,202.0,106.0,1.91,2020,Wexford,84,0
,2668.0,5127.0,3168.0,1959.0,847223.0,318.0,165.0,1.92,2020,Wexford,84,0
,3112.0,6229.0,3812.0,2417.0,954380.0,307.0,153.0,2.0,2020,Wexford,84,0
,3168.0,6341.0,3876.0,2465.0,1078582.0,340.0,170.0,2.0,2020,Wexford,84,0
,2857.0,5371.0,3411.0,1960.0,925285.0,324.0,172.0,1.88,2020,Wexford,84,0
,2681.0,4886.0,3170.0,1716.0,851285.0,318.0,174.0,1.82,2020,Wexford,84,0
,2673.0,4907.0,3144.0,1763.0,828654.0,310.0,169.0,1.84,2020,Wexford,84,0
,2705.0,4996.0,3157.0,1839.0,849049.0,314.0,170.0,1.85,2020,Wexford,84,0
,2677.0,5094.0,3181.0,1913.0,732268.0,269.0,142.0,1.9,2020,Wexford,84,0
