Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,332.0,651.0,327.0,324.0,141996.0,428.0,218.0,1.96,2020,X-Unassigned,85,0
,374.0,741.0,357.0,384.0,135150.0,361.0,182.0,1.98,2020,X-Unassigned,85,0
,354.0,650.0,341.0,309.0,97156.0,274.0,149.0,1.84,2020,X-Unassigned,85,0
,351.0,680.0,367.0,313.0,109843.0,313.0,162.0,1.94,2020,X-Unassigned,85,0
,321.0,585.0,320.0,265.0,102053.0,318.0,174.0,1.82,2020,X-Unassigned,85,0
,363.0,628.0,373.0,255.0,131492.0,362.0,209.0,1.73,2020,X-Unassigned,85,0
,310.0,526.0,324.0,202.0,84937.0,274.0,161.0,1.7,2020,X-Unassigned,85,0
,256.0,472.0,269.0,203.0,106519.0,416.0,226.0,1.84,2020,X-Unassigned,85,0
,266.0,469.0,265.0,204.0,123444.0,464.0,263.0,1.76,2020,X-Unassigned,85,0
,292.0,555.0,303.0,252.0,130923.0,448.0,236.0,1.9,2020,X-Unassigned,85,0
,265.0,476.0,273.0,203.0,134767.0,509.0,283.0,1.8,2020,X-Unassigned,85,0
,289.0,543.0,292.0,251.0,137888.0,477.0,254.0,1.88,2020,X-Unassigned,85,0
,314.0,581.0,318.0,264.0,119681.0,387.0,210.0,1.85,2020,X-Unassigned,85,0
