Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,1448.0,2469.0,1743.0,726.0,447977.0,309.0,181.0,1.71,2021,Lake,44,0
,1464.0,2518.0,1763.0,755.0,454933.0,311.0,181.0,1.72,2021,Lake,44,0
,1465.0,2542.0,1767.0,775.0,455698.0,311.0,179.0,1.74,2021,Lake,44,0
,1477.0,2564.0,1784.0,780.0,531140.0,360.0,207.0,1.74,2021,Lake,44,0
,1482.0,2625.0,1812.0,813.0,541767.0,366.0,206.0,1.77,2021,Lake,44,0
,1450.0,2558.0,1765.0,793.0,536571.0,370.0,210.0,1.76,2021,Lake,44,0
,1429.0,2501.0,1729.0,772.0,521863.0,365.0,209.0,1.75,2021,Lake,44,0
,1419.0,2480.0,1720.0,760.0,566580.0,399.0,228.0,1.75,2021,Lake,44,0
,1425.0,2493.0,1728.0,765.0,498272.0,350.0,200.0,1.75,2021,Lake,44,0
,1439.0,2505.0,1743.0,762.0,567500.0,394.0,227.0,1.74,2021,Lake,44,0
,1435.0,2515.0,1739.0,776.0,575128.0,401.0,229.0,1.75,2021,Lake,44,0
,1451.0,2585.0,1770.0,815.0,584431.0,403.0,226.0,1.78,2021,Lake,44,0
,1449.0,2530.0,1755.0,774.0,523488.0,362.0,207.0,1.75,2021,Lake,44,0
