Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,16942.0,30251.0,18595.0,11656.0,5382024.0,318.0,178.0,1.79,2021,Muskegon,62,0
,17194.0,31073.0,18928.0,12145.0,5564591.0,324.0,179.0,1.81,2021,Muskegon,62,0
,17321.0,31454.0,19105.0,12349.0,5589093.0,323.0,178.0,1.82,2021,Muskegon,62,0
,17381.0,31661.0,19218.0,12443.0,6526652.0,376.0,206.0,1.82,2021,Muskegon,62,0
,17499.0,31844.0,19345.0,12499.0,6604907.0,377.0,207.0,1.82,2021,Muskegon,62,0
,17384.0,31634.0,19232.0,12402.0,6566781.0,378.0,208.0,1.82,2021,Muskegon,62,0
,16813.0,30633.0,18595.0,12038.0,6369047.0,379.0,208.0,1.82,2021,Muskegon,62,0
,16647.0,30319.0,18389.0,11930.0,6930579.0,416.0,229.0,1.82,2021,Muskegon,62,0
,16867.0,30842.0,18636.0,12206.0,6198518.0,367.0,201.0,1.83,2021,Muskegon,62,0
,16816.0,30689.0,18551.0,12138.0,6948380.0,413.0,226.0,1.82,2021,Muskegon,62,0
,16861.0,30734.0,18593.0,12141.0,6926080.0,411.0,225.0,1.82,2021,Muskegon,62,0
,16939.0,30895.0,18676.0,12219.0,7047198.0,416.0,228.0,1.82,2021,Muskegon,62,0
,17055.0,31002.0,18822.0,12181.0,6387821.0,375.0,206.0,1.82,2021,Muskegon,62,0
