Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,748.0,1257.0,878.0,379.0,229021.0,306.0,182.0,1.68,2021,Presque Isle,72,0
,749.0,1261.0,885.0,376.0,231625.0,309.0,184.0,1.68,2021,Presque Isle,72,0
,760.0,1300.0,909.0,391.0,236060.0,311.0,182.0,1.71,2021,Presque Isle,72,0
,772.0,1340.0,931.0,409.0,280129.0,363.0,209.0,1.74,2021,Presque Isle,72,0
,780.0,1353.0,934.0,419.0,285846.0,366.0,211.0,1.73,2021,Presque Isle,72,0
,787.0,1373.0,942.0,431.0,284649.0,362.0,207.0,1.74,2021,Presque Isle,72,0
,780.0,1336.0,925.0,411.0,281306.0,361.0,211.0,1.71,2021,Presque Isle,72,0
,774.0,1335.0,914.0,421.0,301893.0,390.0,226.0,1.72,2021,Presque Isle,72,0
,760.0,1304.0,896.0,408.0,259538.0,341.0,199.0,1.72,2021,Presque Isle,72,0
,758.0,1309.0,900.0,409.0,292826.0,386.0,224.0,1.73,2021,Presque Isle,72,0
,767.0,1315.0,913.0,402.0,296334.0,386.0,225.0,1.71,2021,Presque Isle,72,0
,770.0,1311.0,920.0,391.0,297561.0,386.0,227.0,1.7,2021,Presque Isle,72,0
,767.0,1316.0,912.0,404.0,273066.0,356.0,207.0,1.72,2021,Presque Isle,72,0
