Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,2623.0,4774.0,3078.0,1696.0,851485.0,325.0,178.0,1.82,2021,Sanilac,75,0
,2627.0,4838.0,3094.0,1744.0,867588.0,330.0,179.0,1.84,2021,Sanilac,75,0
,2650.0,4854.0,3115.0,1739.0,860552.0,325.0,177.0,1.83,2021,Sanilac,75,0
,2658.0,4890.0,3134.0,1756.0,997040.0,375.0,204.0,1.84,2021,Sanilac,75,0
,2691.0,4978.0,3179.0,1799.0,1023497.0,380.0,206.0,1.85,2021,Sanilac,75,0
,2674.0,4971.0,3169.0,1802.0,1027631.0,384.0,207.0,1.86,2021,Sanilac,75,0
,2579.0,4768.0,3060.0,1708.0,989140.0,384.0,207.0,1.85,2021,Sanilac,75,0
,2550.0,4706.0,3029.0,1677.0,1065868.0,418.0,226.0,1.85,2021,Sanilac,75,0
,2543.0,4690.0,3006.0,1684.0,943294.0,371.0,201.0,1.84,2021,Sanilac,75,0
,2542.0,4665.0,2999.0,1666.0,1052196.0,414.0,226.0,1.84,2021,Sanilac,75,0
,2529.0,4687.0,3003.0,1684.0,1044468.0,413.0,223.0,1.85,2021,Sanilac,75,0
,2546.0,4729.0,3033.0,1696.0,1068059.0,420.0,226.0,1.86,2021,Sanilac,75,0
,2601.0,4796.0,3075.0,1721.0,982568.0,378.0,205.0,1.84,2021,Sanilac,75,0
